Date,Site.ID,Daily.Mean.PM2.5.Concentration
7/7/2021,360050080,16.3
7/8/2021,360050080,6.2
7/9/2021,360050080,2.2
7/10/2021,360050080,5.5
7/11/2021,360050080,6.3
7/12/2021,360050080,5.1
7/13/2021,360050080,2.9
7/14/2021,360050080,5.5
7/15/2021,360050080,8.1
7/16/2021,360050080,12.4
7/17/2021,360050080,12.5
7/18/2021,360050080,0.3
7/19/2021,360050080,2.7
7/20/2021,360050080,53.8
7/21/2021,360050080,20.7
7/22/2021,360050080,2.8
7/23/2021,360050080,4.5
7/24/2021,360050080,5.8
7/25/2021,360050080,12.3
7/26/2021,360050080,23.7
7/27/2021,360050080,20.8
7/28/2021,360050080,9.7
7/29/2021,360050080,8.1
7/30/2021,360050080,3.7
7/31/2021,360050080,0.4
8/1/2021,360050080,3.3
8/2/2021,360050080,3.1
8/3/2021,360050080,3.8
8/4/2021,360050080,6.1
8/5/2021,360050080,4.8
8/6/2021,360050080,10
8/7/2021,360050080,7.7
8/8/2021,360050080,4.8
8/9/2021,360050080,4.3
8/10/2021,360050080,8.1
8/12/2021,360050080,9.5
8/13/2021,360050080,8.7
8/14/2021,360050080,6.1
8/15/2021,360050080,3.4
8/16/2021,360050080,5.8
8/17/2021,360050080,3.9
8/18/2021,360050080,6.1
8/19/2021,360050080,0.2
8/20/2021,360050080,1.4
8/21/2021,360050080,4.6
8/22/2021,360050080,1.6
8/23/2021,360050080,3.5
8/24/2021,360050080,7.4
8/25/2021,360050080,12.8
8/26/2021,360050080,19.1
8/27/2021,360050080,15
8/28/2021,360050080,5.1
8/29/2021,360050080,5.5
8/30/2021,360050080,9.7
8/31/2021,360050080,8.6
9/2/2021,360050080,0.5
9/3/2021,360050080,0
9/4/2021,360050080,2
9/5/2021,360050080,7.2
9/6/2021,360050080,5.7
9/7/2021,360050080,4.8
9/8/2021,360050080,7.8
9/9/2021,360050080,5.5
9/10/2021,360050080,2.1
9/11/2021,360050080,5.2
9/12/2021,360050080,7.7
9/13/2021,360050080,7.5
9/14/2021,360050080,7
9/15/2021,360050080,13.3
9/16/2021,360050080,2.8
9/17/2021,360050080,4.5
9/18/2021,360050080,5
9/19/2021,360050080,3.2
9/20/2021,360050080,5.1
9/21/2021,360050080,3
9/22/2021,360050080,2.6
9/23/2021,360050080,4
9/24/2021,360050080,2.2
9/25/2021,360050080,5.1
9/26/2021,360050080,4.2
9/27/2021,360050080,5.1
9/28/2021,360050080,6.1
9/29/2021,360050080,0.9
9/30/2021,360050080,1.5
10/1/2021,360050080,2.4
10/2/2021,360050080,6.1
10/3/2021,360050080,11.9
10/4/2021,360050080,5.5
10/5/2021,360050080,1.8
10/6/2021,360050080,3
10/7/2021,360050080,3.7
10/8/2021,360050080,5.5
10/9/2021,360050080,5.5
10/10/2021,360050080,3.1
10/11/2021,360050080,4.8
10/12/2021,360050080,6.6
10/13/2021,360050080,8.7
10/14/2021,360050080,6.2
10/15/2021,360050080,11.2
10/16/2021,360050080,5.7
10/17/2021,360050080,1.9
10/18/2021,360050080,2
10/19/2021,360050080,3.3
10/20/2021,360050080,7.7
10/21/2021,360050080,11.4
10/22/2021,360050080,5.1
10/23/2021,360050080,3
10/24/2021,360050080,5.3
10/25/2021,360050080,8.2
10/26/2021,360050080,0.4
10/27/2021,360050080,3
10/28/2021,360050080,5
10/29/2021,360050080,3.6
10/30/2021,360050080,4.9
10/31/2021,360050080,4.8
11/1/2021,360050080,4.3
11/2/2021,360050080,5.4
11/3/2021,360050080,4.1
11/4/2021,360050080,3.2
11/5/2021,360050080,5.3
11/6/2021,360050080,7.9
11/7/2021,360050080,8.9
11/8/2021,360050080,11.8
11/9/2021,360050080,12.3
11/10/2021,360050080,10.9
11/11/2021,360050080,5.7
11/12/2021,360050080,5.6
11/13/2021,360050080,6.2
11/14/2021,360050080,4.6
11/15/2021,360050080,4.9
11/16/2021,360050080,6.1
11/17/2021,360050080,9.5
11/18/2021,360050080,14.2
11/19/2021,360050080,3.8
11/20/2021,360050080,3.8
11/21/2021,360050080,6.2
11/22/2021,360050080,5.1
11/23/2021,360050080,3.7
11/24/2021,360050080,5
11/25/2021,360050080,8.7
11/26/2021,360050080,7.7
11/27/2021,360050080,4
11/28/2021,360050080,7.8
11/29/2021,360050080,7.1
11/30/2021,360050080,7.4
12/1/2021,360050080,8.4
12/2/2021,360050080,10.5
12/3/2021,360050080,3.8
12/4/2021,360050080,6.4
12/5/2021,360050080,7.5
12/6/2021,360050080,10.9
12/7/2021,360050080,6.3
12/8/2021,360050080,6.8
12/9/2021,360050080,8.4
12/10/2021,360050080,11.5
