Date,Site.ID,Daily.Max.8.hour.CO.Concentration
7/4/2021,360050133,0.3
7/5/2021,360050133,0.5
7/6/2021,360050133,0.3
7/7/2021,360050133,0.4
7/8/2021,360050133,0.4
7/9/2021,360050133,0.3
7/10/2021,360050133,0.3
7/11/2021,360050133,0.3
7/12/2021,360050133,0.3
7/13/2021,360050133,0.2
7/14/2021,360050133,0.3
7/15/2021,360050133,0.3
7/16/2021,360050133,0.3
7/17/2021,360050133,0.3
7/18/2021,360050133,0.3
7/19/2021,360050133,0.4
7/20/2021,360050133,0.7
7/21/2021,360050133,0.7
7/22/2021,360050133,0.4
7/23/2021,360050133,0.3
7/24/2021,360050133,0.3
7/25/2021,360050133,0.3
7/26/2021,360050133,0.5
7/27/2021,360050133,0.7
7/28/2021,360050133,0.3
7/29/2021,360050133,0.3
7/30/2021,360050133,0.3
7/31/2021,360050133,0.3
8/1/2021,360050133,0.6
8/2/2021,360050133,0.2
8/3/2021,360050133,0.3
8/4/2021,360050133,0.4
8/5/2021,360050133,0.3
8/6/2021,360050133,0.4
8/7/2021,360050133,0.3
8/8/2021,360050133,0.3
8/9/2021,360050133,0.3
8/10/2021,360050133,0.3
8/11/2021,360050133,0.3
8/12/2021,360050133,0.4
8/13/2021,360050133,0.4
8/14/2021,360050133,0.4
8/15/2021,360050133,0.3
8/16/2021,360050133,0.3
8/17/2021,360050133,0.2
8/18/2021,360050133,0.3
8/19/2021,360050133,0.2
8/20/2021,360050133,0.3
8/21/2021,360050133,0.4
8/22/2021,360050133,0.2
8/23/2021,360050133,0.3
8/24/2021,360050133,0.4
8/25/2021,360050133,0.5
8/26/2021,360050133,0.5
8/27/2021,360050133,0.4
8/28/2021,360050133,0.4
8/29/2021,360050133,0.3
8/30/2021,360050133,0.3
8/31/2021,360050133,0.4
9/1/2021,360050133,0.4
9/2/2021,360050133,0.3
9/3/2021,360050133,0.3
9/4/2021,360050133,0.4
9/5/2021,360050133,0.5
9/6/2021,360050133,0.4
9/7/2021,360050133,0.3
9/8/2021,360050133,0.3
9/9/2021,360050133,0.4
9/10/2021,360050133,0.3
9/11/2021,360050133,0.3
9/12/2021,360050133,0.3
9/13/2021,360050133,0.3
9/14/2021,360050133,0.3
9/15/2021,360050133,0.3
9/16/2021,360050133,0.2
9/17/2021,360050133,0.2
9/18/2021,360050133,0.3
9/19/2021,360050133,0.3
9/20/2021,360050133,0.4
9/21/2021,360050133,0.3
9/22/2021,360050133,0.2
9/23/2021,360050133,0.2
9/24/2021,360050133,0.3
9/25/2021,360050133,0.4
9/26/2021,360050133,0.5
9/27/2021,360050133,0.3
9/28/2021,360050133,0.3
9/29/2021,360050133,0.2
9/30/2021,360050133,0.2
10/1/2021,360050133,0.4
10/2/2021,360050133,0.4
10/3/2021,360050133,0.4
10/4/2021,360050133,0.4
10/5/2021,360050133,0.2
10/6/2021,360050133,0.5
10/7/2021,360050133,0.6
10/8/2021,360050133,0.6
10/9/2021,360050133,0.3
10/10/2021,360050133,0.2
10/11/2021,360050133,0.3
10/12/2021,360050133,0.3
10/13/2021,360050133,0.5
10/14/2021,360050133,0.4
10/15/2021,360050133,0.5
10/16/2021,360050133,0.4
10/17/2021,360050133,0.2
10/18/2021,360050133,0.2
10/19/2021,360050133,0.3
10/20/2021,360050133,0.3
10/21/2021,360050133,0.4
10/22/2021,360050133,0.3
10/23/2021,360050133,0.2
10/24/2021,360050133,0.3
10/25/2021,360050133,0.3
10/26/2021,360050133,0.2
10/27/2021,360050133,0.2
10/28/2021,360050133,0.2
10/29/2021,360050133,0.2
10/30/2021,360050133,0.3
10/31/2021,360050133,0.3
11/1/2021,360050133,0.3
11/2/2021,360050133,0.4
11/3/2021,360050133,0.3
11/4/2021,360050133,0.4
11/5/2021,360050133,0.7
11/6/2021,360050133,0.9
11/7/2021,360050133,1
11/8/2021,360050133,0.8
11/9/2021,360050133,0.9
11/10/2021,360050133,0.8
11/11/2021,360050133,0.5
11/12/2021,360050133,0.4
11/13/2021,360050133,0.8
11/14/2021,360050133,0.3
11/15/2021,360050133,0.3
11/16/2021,360050133,0.4
11/17/2021,360050133,0.6
11/18/2021,360050133,0.8
11/19/2021,360050133,0.3
11/20/2021,360050133,0.3
11/21/2021,360050133,0.3
11/22/2021,360050133,0.3
11/23/2021,360050133,0.2
11/24/2021,360050133,0.4
11/25/2021,360050133,0.5
11/26/2021,360050133,0.5
