Date,Site.ID,Daily.Max.8.hour.Ozone.Concentration
7/7/2021,360050110,0.067
7/8/2021,360050110,0.038
7/9/2021,360050110,0.034
7/10/2021,360050110,0.038
7/11/2021,360050110,0.045
7/12/2021,360050110,0.04
7/13/2021,360050110,0.028
7/14/2021,360050110,0.053
7/15/2021,360050110,0.065
7/16/2021,360050110,0.065
7/17/2021,360050110,0.047
7/18/2021,360050110,0.04
7/19/2021,360050110,0.032
7/20/2021,360050110,0.054
7/21/2021,360050110,0.053
7/22/2021,360050110,0.04
7/23/2021,360050110,0.038
7/24/2021,360050110,0.05
7/25/2021,360050110,0.044
7/26/2021,360050110,0.058
7/27/2021,360050110,0.069
7/28/2021,360050110,0.043
7/29/2021,360050110,0.043
7/30/2021,360050110,0.042
7/31/2021,360050110,0.038
8/1/2021,360050110,0.05
8/2/2021,360050110,0.032
8/3/2021,360050110,0.041
8/4/2021,360050110,0.044
8/5/2021,360050110,0.055
8/6/2021,360050110,0.07
8/7/2021,360050110,0.062
8/8/2021,360050110,0.058
8/9/2021,360050110,0.043
8/10/2021,360050110,0.047
8/11/2021,360050110,0.053
8/12/2021,360050110,0.051
8/13/2021,360050110,0.076
8/14/2021,360050110,0.048
8/15/2021,360050110,0.046
8/16/2021,360050110,0.047
8/17/2021,360050110,0.031
8/18/2021,360050110,0.022
8/19/2021,360050110,0.029
8/20/2021,360050110,0.029
8/21/2021,360050110,0.045
8/22/2021,360050110,0.03
8/23/2021,360050110,0.027
8/24/2021,360050110,0.05
8/25/2021,360050110,0.068
8/26/2021,360050110,0.08
8/27/2021,360050110,0.063
8/28/2021,360050110,0.029
8/29/2021,360050110,0.03
8/30/2021,360050110,0.042
8/31/2021,360050110,0.045
9/1/2021,360050110,0.035
9/2/2021,360050110,0.031
9/3/2021,360050110,0.021
9/4/2021,360050110,0.035
9/5/2021,360050110,0.028
9/6/2021,360050110,0.045
9/7/2021,360050110,0.048
9/8/2021,360050110,0.042
9/9/2021,360050110,0.022
9/10/2021,360050110,0.032
9/11/2021,360050110,0.044
9/12/2021,360050110,0.047
9/13/2021,360050110,0.044
9/14/2021,360050110,0.037
9/15/2021,360050110,0.041
9/16/2021,360050110,0.044
9/17/2021,360050110,0.032
9/18/2021,360050110,0.04
9/19/2021,360050110,0.034
9/20/2021,360050110,0.03
9/21/2021,360050110,0.033
9/22/2021,360050110,0.032
9/23/2021,360050110,0.031
9/24/2021,360050110,0.041
9/25/2021,360050110,0.046
9/26/2021,360050110,0.037
9/27/2021,360050110,0.043
9/28/2021,360050110,0.027
9/29/2021,360050110,0.028
9/30/2021,360050110,0.017
10/1/2021,360050110,0.024
10/2/2021,360050110,0.043
10/3/2021,360050110,0.047
10/4/2021,360050110,0.031
10/5/2021,360050110,0.014
10/6/2021,360050110,0.011
10/7/2021,360050110,0.022
10/8/2021,360050110,0.024
10/9/2021,360050110,0.026
10/10/2021,360050110,0.023
10/11/2021,360050110,0.032
10/12/2021,360050110,0.032
10/13/2021,360050110,0.012
10/14/2021,360050110,0.035
10/15/2021,360050110,0.039
10/16/2021,360050110,0.048
10/17/2021,360050110,0.027
10/18/2021,360050110,0.025
10/19/2021,360050110,0.031
10/20/2021,360050110,0.044
10/21/2021,360050110,0.048
10/22/2021,360050110,0.025
10/23/2021,360050110,0.022
