Date,Site.ID,Daily.Max.1.hour.NO2.Concentration
8/27/2021,360050110,34.4
8/28/2021,360050110,12.2
8/29/2021,360050110,32.5
8/30/2021,360050110,27.9
9/1/2021,360050110,22.6
9/2/2021,360050110,7.4
9/3/2021,360050110,12.5
9/4/2021,360050110,18.8
9/5/2021,360050110,25.2
9/6/2021,360050110,13.5
9/7/2021,360050110,23.4
9/8/2021,360050110,18.1
9/9/2021,360050110,38.4
9/10/2021,360050110,14.2
9/11/2021,360050110,20.2
9/12/2021,360050110,14.9
9/13/2021,360050110,15.7
9/14/2021,360050110,28
9/15/2021,360050110,25.8
9/16/2021,360050110,12.6
9/17/2021,360050110,8.7
9/18/2021,360050110,12.5
9/19/2021,360050110,17.5
9/20/2021,360050110,20.8
9/21/2021,360050110,25.9
9/22/2021,360050110,16.2
9/23/2021,360050110,17.1
9/24/2021,360050110,22.5
9/25/2021,360050110,30.4
9/26/2021,360050110,20.8
9/27/2021,360050110,22.3
9/28/2021,360050110,28.1
9/29/2021,360050110,12.9
9/30/2021,360050110,11.7
10/1/2021,360050110,27.9
10/2/2021,360050110,28.5
10/3/2021,360050110,26.8
10/4/2021,360050110,24.3
10/5/2021,360050110,13.7
10/6/2021,360050110,28.3
10/7/2021,360050110,36.9
10/8/2021,360050110,36.6
10/9/2021,360050110,8.7
10/10/2021,360050110,7.3
10/11/2021,360050110,20
10/12/2021,360050110,26.8
10/13/2021,360050110,38.6
10/14/2021,360050110,25.9
10/15/2021,360050110,37
10/16/2021,360050110,15.5
10/17/2021,360050110,8.8
10/18/2021,360050110,15.4
10/19/2021,360050110,19.3
10/20/2021,360050110,30.5
10/21/2021,360050110,36.3
10/22/2021,360050110,21.6
10/23/2021,360050110,12.4
10/24/2021,360050110,23
10/25/2021,360050110,37.6
10/26/2021,360050110,18.3
10/27/2021,360050110,10.9
10/28/2021,360050110,20.7
10/29/2021,360050110,27.7
10/30/2021,360050110,20.8
11/1/2021,360050110,21.5
11/2/2021,360050110,35.6
11/3/2021,360050110,23.3
11/4/2021,360050110,29.2
11/5/2021,360050110,40.3
11/6/2021,360050110,45.2
11/7/2021,360050110,44.6
11/8/2021,360050110,49.1
11/9/2021,360050110,56.8
11/10/2021,360050110,52.1
11/11/2021,360050110,37.8
11/12/2021,360050110,32.4
11/13/2021,360050110,39.9
11/14/2021,360050110,16.5
11/15/2021,360050110,25.7
11/16/2021,360050110,26.2
11/17/2021,360050110,44.8
11/18/2021,360050110,41.5
11/19/2021,360050110,16.2
11/20/2021,360050110,28.4
11/21/2021,360050110,21.5
11/22/2021,360050110,21.6
11/23/2021,360050110,15.8
11/24/2021,360050110,27.1
11/25/2021,360050110,31.5
11/26/2021,360050110,32
11/27/2021,360050110,12.5
11/28/2021,360050110,26.3
11/29/2021,360050110,18.4
11/30/2021,360050110,27.4
12/1/2021,360050110,22.2
12/2/2021,360050110,18.4
12/3/2021,360050110,8.5
12/4/2021,360050110,16.6
12/5/2021,360050110,13.5
12/6/2021,360050110,17.4
12/7/2021,360050110,9
12/8/2021,360050110,26.7
12/9/2021,360050110,35
12/10/2021,360050110,46.6
12/11/2021,360050110,38.4
12/12/2021,360050110,20.1
12/13/2021,360050110,33.3
12/14/2021,360050110,34.3
12/15/2021,360050110,38.6
12/16/2021,360050110,37.8
12/17/2021,360050110,25.7
12/18/2021,360050110,26.2
12/19/2021,360050110,21.5
12/20/2021,360050110,41.3
12/21/2021,360050110,36.8
12/22/2021,360050110,31.5
12/23/2021,360050110,24.4
12/24/2021,360050110,26.2
12/25/2021,360050110,32.2
12/26/2021,360050110,13.2
12/27/2021,360050110,27.7
12/28/2021,360050110,29.3
12/29/2021,360050110,29.2
12/30/2021,360050110,32.1
1/1/2021,360050133,25.1
1/2/2021,360050133,21.9
1/3/2021,360050133,15
1/4/2021,360050133,17.4
1/5/2021,360050133,21.4
1/6/2021,360050133,20.1
1/7/2021,360050133,16.1
1/8/2021,360050133,19.3
1/9/2021,360050133,15
1/10/2021,360050133,31.4
1/11/2021,360050133,40.3
1/12/2021,360050133,41.3
1/13/2021,360050133,33.2
1/14/2021,360050133,43.9
1/15/2021,360050133,25.2
1/16/2021,360050133,17.8
1/17/2021,360050133,16.1
1/18/2021,360050133,23.7
1/19/2021,360050133,25.6
1/20/2021,360050133,34.2
1/21/2021,360050133,42.1
1/22/2021,360050133,35.5
1/23/2021,360050133,9
1/24/2021,360050133,12.4
1/25/2021,360050133,20.4
1/26/2021,360050133,18
1/27/2021,360050133,24.6
1/28/2021,360050133,15
1/29/2021,360050133,9.6
1/30/2021,360050133,17.9
1/31/2021,360050133,19.1
2/1/2021,360050133,13.3
2/2/2021,360050133,13.2
2/3/2021,360050133,18.3
2/4/2021,360050133,49.4
2/5/2021,360050133,53.4
2/6/2021,360050133,34.7
2/7/2021,360050133,44.8
2/8/2021,360050133,45.4
2/9/2021,360050133,44.8
2/10/2021,360050133,28.8
2/11/2021,360050133,14.4
2/12/2021,360050133,21.4
2/13/2021,360050133,25.6
2/14/2021,360050133,18.6
2/15/2021,360050133,25.5
2/16/2021,360050133,36.4
2/17/2021,360050133,22
2/18/2021,360050133,19
2/19/2021,360050133,21.1
2/20/2021,360050133,17.6
2/21/2021,360050133,45.6
2/22/2021,360050133,49.8
2/23/2021,360050133,34.5
2/24/2021,360050133,37.2
2/25/2021,360050133,25.9
2/26/2021,360050133,24.3
2/27/2021,360050133,34.2
2/28/2021,360050133,33
3/1/2021,360050133,44.2
3/2/2021,360050133,33.4
3/3/2021,360050133,39.1
3/4/2021,360050133,25.4
3/5/2021,360050133,15.2
3/6/2021,360050133,16.2
3/7/2021,360050133,14.5
3/8/2021,360050133,37.9
3/9/2021,360050133,40.6
3/10/2021,360050133,40.8
3/11/2021,360050133,53.6
3/12/2021,360050133,18.3
3/13/2021,360050133,22.6
3/14/2021,360050133,17.4
3/15/2021,360050133,15.3
3/16/2021,360050133,22.5
3/17/2021,360050133,36.2
3/18/2021,360050133,44.9
3/19/2021,360050133,20.9
3/20/2021,360050133,48.9
3/21/2021,360050133,47.1
3/22/2021,360050133,45
3/23/2021,360050133,22.6
3/24/2021,360050133,22.2
