"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/08/2023","AQS","360810124","1","0.5","ppm","6","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/09/2023","AQS","360810124","1","1.3","ppm","15","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/10/2023","AQS","360810124","1","0.3","ppm","3","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/11/2023","AQS","360810124","1","0.3","ppm","3","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/12/2023","AQS","360810124","1","0.6","ppm","7","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/13/2023","AQS","360810124","1","0.3","ppm","3","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/14/2023","AQS","360810124","1","0.3","ppm","3","QUEENS COLLEGE 2","18","75.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/15/2023","AQS","360810124","1","0.4","ppm","5","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/16/2023","AQS","360810124","1","0.6","ppm","7","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/17/2023","AQS","360810124","1","0.5","ppm","6","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/18/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/19/2023","AQS","360810124","1","0.4","ppm","5","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/20/2023","AQS","360810124","1","0.4","ppm","5","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/21/2023","AQS","360810124","1","0.4","ppm","5","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/22/2023","AQS","360810124","1","0.4","ppm","5","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/23/2023","AQS","360810124","1","0.3","ppm","3","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/24/2023","AQS","360810124","1","0.3","ppm","3","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/25/2023","AQS","360810124","1","0.3","ppm","3","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/26/2023","AQS","360810124","1","0.6","ppm","7","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/27/2023","AQS","360810124","1","0.4","ppm","5","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"02/28/2023","AQS","360810124","1","0.5","ppm","6","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/01/2023","AQS","360810124","1","0.5","ppm","6","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/02/2023","AQS","360810124","1","0.5","ppm","6","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/03/2023","AQS","360810124","1","0.3","ppm","3","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/04/2023","AQS","360810124","1","0.3","ppm","3","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/05/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/06/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/07/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/08/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/09/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/10/2023","AQS","360810124","1","0.3","ppm","3","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/11/2023","AQS","360810124","1","0.3","ppm","3","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/12/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/13/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/14/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/15/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/16/2023","AQS","360810124","1","0.4","ppm","5","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/17/2023","AQS","360810124","1","0.5","ppm","6","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/18/2023","AQS","360810124","1","0.4","ppm","5","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/19/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/20/2023","AQS","360810124","1","0.3","ppm","3","QUEENS COLLEGE 2","18","75.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/21/2023","AQS","360810124","1","0.4","ppm","5","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/22/2023","AQS","360810124","1","0.4","ppm","5","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/23/2023","AQS","360810124","1","0.4","ppm","5","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/24/2023","AQS","360810124","1","0.4","ppm","5","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/25/2023","AQS","360810124","1","0.4","ppm","5","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/26/2023","AQS","360810124","1","0.3","ppm","3","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/27/2023","AQS","360810124","1","0.4","ppm","5","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/28/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/29/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/30/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"03/31/2023","AQS","360810124","1","0.7","ppm","8","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"04/01/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"04/02/2023","AQS","360810124","1","0.2","ppm","2","QUEENS COLLEGE 2","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
"04/03/2023","AQS","360810124","1","0.3","ppm","3","QUEENS COLLEGE 2","18","75.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153"
